# Generated with codec_test.py (time: 184min)

Tool versions:
+ mencoder 2:1.0~rc2-0ubuntu13
+ mkvmerge v2.0.2
+ mp4creator 1.6
+ mplayer 1.0rc2-4.2.3
+ ogmmerge v1.5
+ undvd 0.5.1

+------------+------------+------------+------------+
| container  | vcodec     | acodec     | status     |
| flv        | msmpeg4v2  | sonic      | failed     |
| flv        | msmpeg4v2  | sonicls    | failed     |
| flv        | msmpeg4v2  | vorbis     | failed     |
| flv        | msmpeg4v2  | wmav1      | failed     |
| flv        | msmpeg4v2  | wmav2      | failed     |
| flv        | roqvideo   | aac        | failed     |
| flv        | roqvideo   | ac3        | failed     |
| flv        | roqvideo   | flac       | failed     |
| flv        | roqvideo   | mp2        | failed     |
| flv        | roqvideo   | mp3        | failed     |
| flv        | roqvideo   | sonic      | failed     |
| flv        | roqvideo   | sonicls    | failed     |
| flv        | roqvideo   | vorbis     | failed     |
| flv        | roqvideo   | wmav1      | failed     |
| flv        | roqvideo   | wmav2      | failed     |
| flv        | rv10       | aac        | failed     |
| flv        | rv10       | ac3        | failed     |
| flv        | rv10       | flac       | failed     |
| flv        | rv10       | mp2        | failed     |
| flv        | rv10       | mp3        | ok         |
| flv        | rv10       | sonic      | failed     |
| flv        | rv10       | sonicls    | failed     |
| flv        | rv10       | vorbis     | failed     |
| flv        | rv10       | wmav1      | failed     |
| flv        | rv10       | wmav2      | failed     |
| flv        | svq1       | aac        | failed     |
| flv        | svq1       | ac3        | failed     |
| flv        | svq1       | flac       | failed     |
| flv        | svq1       | mp2        | failed     |
| flv        | svq1       | mp3        | failed     |
| flv        | svq1       | sonic      | failed     |
| flv        | svq1       | sonicls    | failed     |
| flv        | svq1       | vorbis     | failed     |
| flv        | svq1       | wmav1      | failed     |
| flv        | svq1       | wmav2      | failed     |
| flv        | wmv1       | aac        | failed     |
| flv        | wmv1       | ac3        | failed     |
| flv        | wmv1       | flac       | failed     |
| flv        | wmv1       | mp2        | failed     |
| flv        | wmv1       | mp3        | failed     |
| flv        | wmv1       | sonic      | failed     |
| flv        | wmv1       | sonicls    | failed     |
| flv        | wmv1       | vorbis     | failed     |
| flv        | wmv1       | wmav1      | failed     |
| flv        | wmv1       | wmav2      | failed     |
| flv        | wmv2       | aac        | failed     |
| flv        | wmv2       | ac3        | failed     |
| flv        | wmv2       | flac       | failed     |
